tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt9990000	movie	Michael	Michael	0	2026	\N	127	Biography,Drama,Music
tt9990001	movie	Project Hail Mary	Project Hail Mary	0	2026	\N	145	Sci-Fi,Adventure
tt9990002	movie	The Mandalorian and Grogu	The Mandalorian and Grogu	0	2026	\N	132	Action,Adventure,Sci-Fi
tt9990003	movie	Toy Story 5	Toy Story 5	0	2026	\N	90	Animation,Adventure,Comedy
tt9990004	movie	Supergirl: Woman of Tomorrow	Supergirl: Woman of Tomorrow	0	2026	\N	115	Action,Adventure,Sci-Fi
tt9990005	movie	Moana	Moana	0	2026	\N	110	Adventure,Family,Fantasy
tt9990006	movie	Avengers: Doomsday	Avengers: Doomsday	0	2026	\N	225	Action,Adventure,Sci-Fi
tt9990007	movie	The Super Mario Galaxy Movie	The Super Mario Galaxy Movie	0	2026	\N	98	Animation,Adventure,Family
tt9990008	movie	Scream 7	Scream 7	0	2026	\N	114	Horror,Mystery,Thriller
tt9990009	movie	Ready or Not 2: Here I Come	Ready or Not 2: Here I Come	0	2026	\N	108	Horror,Comedy,Thriller
tt9990010	movie	Spider-Man: Brand New Day	Spider-Man: Brand New Day	0	2026	\N	130	Action,Adventure,Sci-Fi
tt9990011	movie	Sunrise on the Reaping	Sunrise on the Reaping	0	2026	\N	150	Action,Adventure,Sci-Fi
tt9990012	movie	28 Years Later: The Bone Temple	28 Years Later: The Bone Temple	0	2026	\N	109	Horror,Sci-Fi
tt9990013	movie	The Devil Wears Prada 2	The Devil Wears Prada 2	0	2026	\N	119	Comedy,Drama
tt9990014	movie	The Rip	The Rip	0	2026	\N	113	Thriller,Crime
tt9990015	movie	Crime 101	Crime 101	0	2026	\N	140	Crime,Drama,Thriller
tt9990016	movie	War Machine	War Machine	0	2026	\N	106	Action,Drama,War
tt9990017	movie	Apex	Apex	0	2026	\N	95	Sci-Fi,Action
tt9990018	movie	In the Grey	In the Grey	0	2026	\N	98	Action,Thriller
tt9990019	movie	Send Help	Send Help	0	2026	\N	143	Comedy
tt9990020	movie	Star Wars: The Mandalorian and Grogu	Star Wars: The Mandalorian and Grogu	0	2026	\N	116	Romance
tt9990021	movie	Good Luck, Have Fun, Don't Die	Good Luck, Have Fun, Don't Die	0	2026	\N	75	Comedy
tt9990022	movie	How to Make a Killing	How to Make a Killing	0	2026	\N	108	Thriller
tt9990023	movie	Lee Cronin's The Mummy	Lee Cronin's The Mummy	0	2026	\N	93	Romance
tt9990024	movie	The Wrecking Crew	The Wrecking Crew	0	2026	\N	120	Romance
tt9990025	movie	Wuthering Heights	Wuthering Heights	0	2026	\N	90	Action,Crime
tt9990026	movie	Mercy	Mercy	0	2026	\N	102	Action,Crime
tt9990027	movie	People We Meet on Vacation	People We Meet on Vacation	0	2026	\N	114	Documentary
tt9990028	movie	The Bride!	The Bride!	0	2026	\N	120	Documentary
tt9990029	movie	Hoppers	Hoppers	0	2026	\N	83	Horror
tt9990030	movie	Mike & Nick & Nick & Alice	Mike & Nick & Nick & Alice	0	2026	\N	98	Horror
tt9990031	movie	Greenland 2: Migration	Greenland 2: Migration	0	2026	\N	96	Drama
tt9990032	movie	The Bluff	The Bluff	0	2026	\N	93	Comedy
tt9990033	movie	Normal	Normal	0	2026	\N	136	Documentary
tt9990034	movie	Cold Storage	Cold Storage	0	2026	\N	112	Action,Crime
tt9990035	movie	GOAT	GOAT	0	2026	\N	82	Thriller
tt9990036	movie	Pizza Movie	Pizza Movie	0	2026	\N	121	Action,Crime
tt9990037	movie	The Testament of Ann Lee	The Testament of Ann Lee	0	2026	\N	143	Comedy
tt9990038	movie	Dead Man's Wire	Dead Man's Wire	0	2026	\N	123	Horror
tt9990039	movie	Shelter	Shelter	0	2026	\N	77	Action,Crime
tt9990040	movie	Whistle	Whistle	0	2026	\N	96	Drama
tt9990041	movie	One Mile: Chapter One	One Mile: Chapter One	0	2026	\N	127	Comedy
tt9990042	movie	Pillion	Pillion	0	2026	\N	92	Horror
tt9990043	movie	Nirvanna: The Band - The Show - The Movie	Nirvanna: The Band - The Show - The Movie	0	2026	\N	112	Thriller
tt9990044	movie	Mother Mary	Mother Mary	0	2026	\N	118	Horror
tt9990045	movie	Solo Mio	Solo Mio	0	2026	\N	88	Romance
tt9990046	movie	Heel	Heel	0	2026	\N	103	Drama
tt9990047	movie	The Only Living Pickpocket in New York	The Only Living Pickpocket in New York	0	2026	\N	75	Comedy
tt9990048	movie	Dreams	Dreams	0	2026	\N	86	Thriller
tt9990049	movie	Outcome	Outcome	0	2026	\N	100	Drama
tt9990050	movie	The Hunger Games: Sunrise on the Reaping	The Hunger Games: Sunrise on the Reaping	0	2026	\N	82	Horror
tt9990051	movie	The Moment	The Moment	0	2026	\N	134	Drama
