tconst	averageRating	numVotes
tt9990000	7.7	45000
tt9990001	8.4	251000
tt9990002	7.8	110000
tt9990003	7.5	85000
tt9990004	7.2	65000
tt9990005	6.9	45000
tt9990006	8.9	500000
tt9990007	6.5	42000
tt9990008	5.5	49000
tt9990009	6.7	25000
tt9990010	8.1	120000
tt9990011	7.6	95000
tt9990012	7.3	91000
tt9990013	7.0	741
tt9990014	6.8	125000
tt9990015	6.8	66000
tt9990016	6.3	92000
tt9990017	6.2	29000
tt9990018	8.3	129
tt9990019	6.8	3656
tt9990020	6.1	3416
tt9990021	7.0	5363
tt9990022	8.0	256
tt9990023	6.0	834
tt9990024	6.0	62963
tt9990025	8.0	95554
tt9990026	7.1	5577
tt9990027	5.8	19241
tt9990028	6.9	12924
tt9990029	5.8	100000
tt9990030	5.8	43449
tt9990031	6.6	6688
tt9990032	4.2	1932
tt9990033	4.4	728
tt9990034	5.7	10994
tt9990035	5.2	2605
tt9990036	6.6	959
tt9990037	5.3	3072
tt9990038	4.7	1599
tt9990039	7.9	100000
tt9990040	6.1	30407
tt9990041	6.4	8006
tt9990042	4.7	74601
tt9990043	5.7	9100
tt9990044	6.4	2226
tt9990045	5.0	79593
tt9990046	6.7	18185
tt9990047	5.6	1709
tt9990048	6.0	6090
tt9990049	5.6	2178
tt9990050	8.3	1018
tt9990051	6.3	32508
tt9990052	5.1	100000
tt9990053	7.2	994
tt9990054	5.0	18853
tt9990055	6.5	3053
tt9990056	4.1	3902
tt9990057	4.8	3332
tt9990058	6.5	2217
tt9990059	7.1	8714
tt9990060	6.5	2329
tt9990061	6.2	12157
tt9990062	6.0	7514
tt9990063	4.7	5662
tt9990064	5.5	2076
tt9990065	5.8	3411
tt9990066	7.5	25161
tt9990067	6.7	17177
tt9990068	4.4	1869
tt9990069	6.7	9405
tt9990070	5.9	25011
tt9990071	5.6	662
tt9990072	7.0	18307
tt9990073	7.4	2999
tt9990074	7.3	19070
tt9990075	5.4	2578
tt9990076	6.0	540
tt9990077	6.7	705
tt9990078	7.4	8709
tt9990079	5.8	11963
tt9990080	6.1	2087
tt9990081	5.1	21118
tt9990082	5.0	670
tt9990083	7.2	7338
tt9990084	7.8	1317
tt9990085	6.2	3048
tt9990086	7.4	8700
tt9990087	6.7	2229
tt9990088	5.6	4551
tt9990089	6.7	36659
tt9990090	8.0	3410
tt9990091	6.3	28382
tt9990092	8.0	1488
tt9990093	3.4	17938
tt9990094	7.2	70428
tt9990095	6.4	198
tt9990096	6.0	2451
tt9990097	6.4	19256
tt9990098	4.1	5975
tt9990099	6.1	14139
tt9990100	6.7	3274
tt9990101	7.9	9226
tt9990102	5.7	6415
tt9990103	5.4	46708
tt9990104	5.7	11868
tt9990105	7.3	13445
tt9990106	6.7	4368
tt9990107	5.7	3899
tt9990108	6.9	4235
tt9990109	6.4	14642
tt9990110	7.4	4309
tt9990111	5.5	12514
tt9990112	5.9	100000
tt9990113	5.9	29932
tt9990114	4.7	4968
tt9990115	6.6	49110
tt9990116	6.6	4393
tt9990117	6.3	381
tt9990118	6.0	1786
tt9990119	4.7	489
tt9990120	5.8	4782
tt9990121	5.9	8330
tt9990122	5.4	100000
tt9990123	6.1	13231
tt9990124	6.7	5833
tt9990125	8.4	28116
tt9990126	6.5	293
tt9990127	6.6	11538
tt9990128	6.2	25752
tt9990129	4.2	881
tt9990130	6.3	45054
tt9990131	6.4	13463
tt9990132	9.0	4346
tt9990133	6.1	20934
tt9990134	6.6	100000
tt9990135	6.3	10644
tt9990136	5.0	11758
tt9990137	7.6	4068
tt9990138	7.1	2264
tt9990139	7.2	28155
tt9990140	5.3	2243
tt9990141	7.8	9021
tt9990142	4.8	3958
tt9990143	6.9	16621
tt9990144	8.7	13366
tt9990145	5.2	38419
tt9990146	5.7	3770
tt9990147	6.4	5405
tt9990148	5.7	1866
tt9990149	4.6	4161
tt9990150	6.4	14270
tt9990151	5.1	25222
tt9990152	6.8	2031
tt9990153	5.3	29863
tt9990154	8.0	61911
tt9990155	5.4	15065
tt9990156	5.9	100000
tt9990157	7.2	2538
tt9990158	4.9	1252
tt9990159	6.6	562
tt9990160	7.7	76425
tt9990161	4.5	21623
tt9990162	6.5	7454
tt9990163	6.6	12332
tt9990164	7.2	1497
tt9990165	4.9	100000
tt9990166	4.8	9836
tt9990167	6.9	9548
tt9990168	6.6	24068
tt9990169	6.6	16672
tt9990170	6.7	11336
tt9990171	5.6	2475
tt9990172	6.6	16435
tt9990173	6.6	100000
tt9990174	5.5	60969
tt9990175	8.4	88413
tt9990176	6.8	3763
tt9990177	5.0	1836
tt9990178	7.0	6709
tt9990179	5.2	8809
tt9990180	7.2	41826
tt9990181	7.6	639
tt9990182	5.4	80364
tt9990183	7.4	6393
tt9990184	6.8	4271
tt9990185	7.2	1775
tt9990186	8.4	677
tt9990187	6.0	27854
tt9990188	5.5	9045
tt9990189	5.3	1170
tt9990190	5.4	1161
tt9990191	6.2	4896
tt9990192	6.7	99065
tt9990193	6.6	5489
tt9990194	7.2	850
tt9990195	6.3	5604
tt9990196	7.9	5382
tt9990197	6.0	141
tt9990198	9.3	7469
tt9990199	7.0	5730
tt9990200	5.4	23024
tt9990201	5.1	100000
tt9990202	6.8	43907
tt9990203	6.1	5413
tt9990204	7.1	1541
tt9990205	6.8	100000
tt9990206	6.2	8855
tt9990207	5.4	8274
tt9990208	4.6	7815
tt9990209	5.8	10906
tt9990210	7.2	6525
tt9990211	6.5	3427
tt9990212	4.9	3567
tt9990213	6.5	7714
tt9990214	6.7	3586
tt9990215	5.3	2781
tt9990216	6.5	9505
tt9990217	6.4	5527
tt9990218	5.0	77341
tt9990219	6.7	151
tt9990220	6.9	41658
tt9990221	7.5	52529
tt9990222	7.5	361
tt9990223	4.8	4846
tt9990224	5.3	4641
tt9990225	6.9	981
tt9990226	6.9	2523
tt9990227	6.9	1531
tt9990228	9.5	100000
tt9990229	6.9	32975
tt9990230	7.5	54575
tt9990231	7.3	23920
tt9990232	7.0	1489
tt9990233	6.0	3689
tt9990234	7.1	16882
tt9990235	5.4	1295
tt9990236	6.0	23611
tt9990237	5.8	5650
tt9990238	6.4	4618
tt9990239	8.8	23539
tt9990240	4.2	15778
tt9990241	7.1	4715
tt9990242	4.5	46119
tt9990243	5.8	1601
tt9990244	7.5	20412
tt9990245	6.4	19725
tt9990246	5.1	5093
tt9990247	5.5	13216
tt9990248	7.0	1240
tt9990249	5.5	32404
tt9990250	6.5	6140
tt9990251	6.4	3699
tt9990252	5.6	39085
