genre,avg_rating,median_votes,total_movies
Documentary,7.177492024803756,27.0,55798
Biography,6.918751152923815,102.0,10842
Music,6.788953488372093,73.0,8944
History,6.768521594684386,89.0,9632
Sport,6.634504792332269,112.0,4382
War,6.369770200148258,96.0,6745
Animation,6.306424936386769,146.0,6288
Drama,6.2094759169358325,92.0,155109
Musical,6.187928825622776,64.0,7025
Family,6.17559633027523,95.5,13080
Romance,6.091794443396481,144.0,37109
Crime,5.975435516542876,185.0,29620
Comedy,5.8938675796861295,124.0,82072
Adventure,5.856893635528922,136.0,20693
Fantasy,5.8406467614232565,155.0,10483
Western,5.835121855345911,99.0,5088
Mystery,5.804942656307806,254.0,13515
Action,5.745305446025488,142.0,34998
Adult,5.597802197802198,28.0,4641
Thriller,5.587041866849691,195.0,29140
Sci-Fi,5.332731097636431,233.0,8081
Horror,4.972209653092006,177.0,26520
