tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000873	short	Bakchisarayskiy fontan	Bakchisarayskiy fontan	0	1909	\N	\N	Drama,Short
tt0000397	short	La gavotte	La gavotte	0	1902	\N	\N	Short
tt0003783	short	Colonel Heeza Liar in the Wilderness	Colonel Heeza Liar in the Wilderness	0	1914	\N	\N	Animation,Comedy,Short
tt0000583	short	The Lady with the Camellias	Kameliadamen	0	1907	\N	14	Drama,Romance,Short
tt0004915	movie	As Ye Repent	As Ye Repent	0	1915	\N	\N	Drama
tt0004076	short	Her Last Chance	Her Last Chance	0	1914	\N	\N	Comedy,Short
tt0002073	short	Broncho Billy's Mexican Wife	Broncho Billy's Mexican Wife	0	1912	\N	\N	Short,Western
tt0002051	short	The Battle of the Red Men	The Battle of the Red Men	0	1912	\N	\N	Short,Western
tt0004237	movie	The Little Jewess	The Little Jewess	0	1914	\N	\N	Drama
tt0003368	short	The Sheriff and the Rustler	The Sheriff and the Rustler	0	1913	\N	\N	Short,Western
tt0004227	short	Lights and Shadows	Lights and Shadows	0	1914	\N	\N	Drama,Short
tt0003136	short	Mercy Merrick	Mercy Merrick	0	1913	\N	\N	Drama,Short
tt0000139	short	L'aveugle	L'aveugle	0	1897	\N	\N	Drama,Short
tt0001734	short	The Little Daughter's Letter	The Little Daughter's Letter	0	1911	\N	16	Drama,Short
tt0001028	movie	Salome Mad	Salome Mad	0	1909	\N	\N	Comedy
tt0000122	short	Closing Hours at Vibert's Perfume Factory	Sortie des ateliers Vibert	0	1896	\N	\N	Documentary,Short
tt0000725	short	Mixed Babies	Mixed Babies	0	1908	\N	\N	Comedy,Short
tt0001119	short	Arms and the Woman	Arms and the Woman	0	1910	\N	\N	Drama,Short
tt0000157	short	Idylle	Idylle	0	1897	\N	\N	Short
tt0000609	short	Othello	Otello	0	1906	\N	\N	Drama,Music,Romance
tt0002837	short	Fabricación del hielo	Fabricación del hielo	0	1913	\N	\N	Documentary,Short
tt0003075	short	The Little Tease	The Little Tease	0	1913	\N	25	Drama,Short
tt0000692	short	El fusilamiento de Dorrego	El fusilamiento de Dorrego	0	1908	\N	\N	History,Short
tt0001990	short	The Yiddisher Cowboy	The Yiddisher Cowboy	0	1911	\N	\N	Comedy,Short,Western
