tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0039378	short	Figaro and Frankie	Figaro and Frankie	0	1947	\N	7	Animation,Comedy,Family
tt0066284	movie	Rasplata	Rasplata	0	1970	\N	83	Drama
tt0003996	short	Miss Soapsuds	Fräulein Seifenschaum	0	1914	\N	10	Short
tt0123619	movie	California Gigolo	California Gigolo	1	1980	\N	70	Adult,Drama
tt0179214	tvEpisode	Le contrôle de l'univers	Le contrôle de l'univers	0	1999	\N	27	Documentary
tt0154088	tvMiniSeries	Sebaj Tóbiás	Sebaj Tóbiás	0	1983	\N	\N	Animation
tt0114252	tvMovie	Redwood Curtain	Redwood Curtain	0	1995	\N	100	Drama
tt0170493	short	Randevú a Vörös téren	Randevú a Vörös téren	0	1966	\N	\N	Short
tt0056881	movie	Bolshaya doroga	Bolshaya doroga	0	1963	\N	100	Biography,Comedy,Drama
tt0146470	short	Peaches and Scream	Peaches and Scream	0	1928	\N	\N	Animation,Comedy,Short
tt0183401	short	A Letter of Warning	A Letter of Warning	0	1932	\N	33	Drama,Short
tt0022420	short	The Spider and the Fly	The Spider and the Fly	0	1931	\N	7	Animation,Comedy,Family
tt0079125	movie	Ève avait l'éclat métallique de l'été	Ève avait l'éclat métallique de l'été	0	1979	\N	60	\N
tt0114119	movie	A Petal	Ggotip	0	1996	\N	101	Drama,History
tt0238952	short	Duel	Duel	0	1997	\N	6	Animation,Comedy,Horror
tt0030213	movie	Happy Landing	Happy Landing	0	1938	\N	102	Comedy,Music,Romance
tt0037394	movie	Trent'anni di servizio	Trent'anni di servizio	0	1945	\N	\N	\N
tt0077609	movie	Ghar	Ghar	0	1978	\N	121	Drama,Romance
tt0258553	movie	Entre risas y lágrimas	Entre risas y lágrimas	0	1961	\N	\N	\N
tt0132568	movie	Toute sa vie	Toute sa vie	0	1930	\N	90	Drama
tt0035151	movie	Once Upon a Honeymoon	Once Upon a Honeymoon	0	1942	\N	117	Adventure,Comedy,Drama
tt0117710	movie	Specimen	Specimen	0	1996	\N	85	Sci-Fi
tt0103412	tvSeries	Final Appeal: From the Files of Unsolved Mysteries	Final Appeal: From the Files of Unsolved Mysteries	0	1992	1992	30	Crime,Documentary,Drama
tt0218422	movie	La malagueña	La malagueña	0	1947	\N	84	Drama
tt0127145	movie	A Portrait of Seduction	A Portrait of Seduction	1	1976	\N	76	Adult,Drama
tt0123696	video	Closer and Closer Apart	Closer and Closer Apart	0	1989	\N	88	Drama,Romance
tt0100330	movie	Paper Mask	Paper Mask	0	1990	\N	105	Crime,Drama,Fantasy
tt0207337	movie	The Big Thing	The Big Thing	0	2000	\N	90	Comedy
tt0116063	movie	The Salt in the Wound	El dedo en la llaga	0	1996	\N	115	Comedy
tt0015748	movie	Deutsche Herzen am deutschen Rhein	Deutsche Herzen am deutschen Rhein	0	1926	\N	\N	\N
tt0187109	movie	Gurudev	Gurudev	0	1993	\N	147	Action,Drama,Romance
tt0113619	video	Latex	Latex	1	1995	\N	120	Adult,Drama,Sci-Fi
tt0217771	tvMovie	Rosemary's Hochzeit	Rosemary's Hochzeit	0	1985	\N	60	\N
tt0142367	movie	The Red Silk Gambler	Hijirimen bakuto	0	1972	\N	86	Action,Crime,Drama
tt0160685	video	Poolparty at Seymore's 2	Poolparty at Seymore's 2	1	1995	\N	120	Adult
tt0061952	movie	Il marchio di Kriminal	Il marchio di Kriminal	0	1967	\N	92	Action,Crime,Thriller
tt0181993	movie	O Cantor e o Milionário	O Cantor e o Milionário	0	1958	\N	82	Comedy
tt0025442	movie	Madame Bovary	Madame Bovary	0	1934	\N	101	Drama
tt0124987	short	As Seen on Television	As Seen on Television	0	1996	\N	3	Short
tt0043672	movie	In München steht ein Hofbräuhaus	In München steht ein Hofbräuhaus	0	1951	\N	106	Comedy
tt0067069	movie	Evel Knievel	Evel Knievel	0	1971	\N	88	Action,Biography,Drama
tt0025068	movie	Dr. Monica	Dr. Monica	0	1934	\N	61	Drama,Romance
tt0039182	short	Benlliure en la intimidad	Benlliure en la intimidad	0	1947	\N	10	Documentary,Short
tt0044497	movie	Children of Hiroshima	Genbaku no ko	0	1952	\N	97	Drama,War
tt0083463	tvSeries	Die Pawlaks - Eine Geschichte aus dem Ruhrgebiet	Die Pawlaks - Eine Geschichte aus dem Ruhrgebiet	0	1982	\N	90	\N
tt0105688	movie	Und raus bist du	Und raus bist du	0	1992	\N	\N	\N
tt0123535	movie	Bodies in Heat	Bodies in Heat	1	1983	\N	73	Adult
tt0006201	movie	The Unknown	The Unknown	0	1915	\N	50	Adventure,Drama
tt0214135	movie	Sitamgarh	Sitamgarh	0	1934	\N	158	Drama
tt0014677	movie	Another Man's Wife	Another Man's Wife	0	1924	\N	50	Drama
tt0115430	movie	'Man Who Couldn't Feel' and Other Tales	'Man Who Couldn't Feel' and Other Tales	0	1997	\N	52	Documentary
tt0160170	movie	Daisogen no wataridori	Daisogen no wataridori	0	1960	\N	83	Crime
tt0169509	tvSeries	Le véto	Le véto	0	1986	1986	52	\N
tt0174174	movie	Ruslan and Ludmila	Ruslan i Lyudmila	0	1972	\N	150	Adventure,Fantasy,Mystery
tt0091117	movie	The Girl	The Girl	0	1987	\N	105	Drama,Romance,Thriller
tt0184993	short	Voodoo	Voodoo	0	1999	\N	6	Comedy,Short
tt0045438	tvSeries	The Saturday Night Revue	The Saturday Night Revue	0	1953	1954	\N	Comedy
tt0188566	movie	Dirty Blonde	Dirty Blonde	1	1984	\N	83	Adult,Comedy,Mystery
tt0112761	movie	Cyber Bandits	Cyber Bandits	0	1995	\N	86	Adventure,Crime,Sci-Fi
tt0246533	short	Courtship of Miles Sandwich	Courtship of Miles Sandwich	0	1923	\N	19	Comedy,Short
tt0107529	movie	Matinee	Matinee	0	1993	\N	99	Comedy,Drama
tt0015475	movie	Week End Husbands	Week End Husbands	0	1924	\N	70	Drama
tt0001201	short	La esclusa	La esclusa	0	1910	\N	\N	Drama,Short
tt0160636	movie	Paris-Deauville	Paris-Deauville	0	1933	\N	71	Comedy
tt0110222	movie	Kabhi Haan Kabhi Naa	Kabhi Haan Kabhi Naa	0	1994	\N	158	Comedy,Drama,Music
tt0113656	movie	Life Itself	Life Itself	0	1995	\N	\N	\N
tt0069489	movie	Wedding in White	Wedding in White	0	1972	\N	103	Drama
tt0102800	movie	Robot Jox	Robot Jox	0	1989	\N	85	Action,Sci-Fi,Thriller
tt0156920	movie	Raagam	Raagam	0	1975	\N	\N	\N
tt0208315	short	Mais n'te promène donc pas toute nue	Mais n'te promène donc pas toute nue	0	1906	\N	\N	Short
tt0069961	tvMovie	Deliver Us from Evil	Deliver Us from Evil	0	1973	\N	75	Crime,Drama
tt0128508	video	The Sin-a-bun Girls	The Sin-a-bun Girls	1	1995	\N	85	Adult
tt0020603	movie	Wonder of Women	Wonder of Women	0	1929	\N	95	Drama
tt0166491	tvMovie	Assol	Assol	0	1982	\N	65	Romance
tt0129462	movie	Tropic of Passion	Tropic of Passion	1	1973	\N	77	Adult,Crime,Drama
tt0095215	movie	Ghost Town	Ghost Town	0	1988	\N	85	Action,Horror,Western
tt0012863	movie	Women Men Love	Women Men Love	0	1921	\N	60	Drama
tt0244056	movie	De man zonder vrouw	De man zonder vrouw	0	1961	\N	\N	\N
tt0072771	movie	Dracula in the Provinces	Il cav. Costante Nicosia demoniaco, ovvero: Dracula in Brianza	0	1975	\N	100	Comedy,Horror
tt0013150	movie	Fourteenth Lover	Fourteenth Lover	0	1922	\N	50	Comedy
tt0104167	short	Educating Peter	Educating Peter	0	1992	\N	30	Documentary,Short
tt0098028	tvEpisode	One Way Out	One Way Out	0	1989	\N	\N	Comedy,Crime,Drama
tt0139376	tvMovie	In Dreams	In Dreams	0	1992	\N	60	Comedy
tt0027402	movie	The Brown Wallet	The Brown Wallet	0	1936	\N	68	Crime,Drama,Thriller
tt0124481	video	Erotic Dreams	Erotic Dreams	1	1992	\N	53	Adult,Romance
tt0073701	movie	Shi san bu da	Shi san bu da	0	1975	\N	\N	Comedy
tt0020953	movie	He Knew Women	He Knew Women	0	1930	\N	70	Comedy,Romance
tt0081833	tvSeries	Blood Money	Blood Money	0	1981	1981	30	Drama,Thriller
tt0083099	movie	So Fine	So Fine	0	1981	\N	90	Comedy
tt0167311	movie	No Exit	No Exit	0	1995	\N	110	Crime
tt0202367	movie	Gekko kamen - Satan no tsume	Gekko kamen - Satan no tsume	0	1958	\N	62	Action,Adventure,Mystery
tt0174037	short	Moron Than Off	Moron Than Off	0	1946	\N	18	Comedy,Short
tt0058659	movie	The Time Travelers	The Time Travelers	0	1964	\N	84	Sci-Fi
tt0219292	short	The Secret	The Secret	0	1918	\N	\N	Short
tt0082522	movie	Home Sweet Home	Home Sweet Home	0	1981	\N	85	Horror
tt0161498	video	Dick at Nite	Dick at Nite	1	1993	\N	75	Adult
tt0240360	short	Baa, Baa, Blacksheep	Baa, Baa, Blacksheep	0	1944	\N	10	Documentary,Short,Sport
tt0117672	movie	Smuggler	Smuggler	0	1996	\N	\N	Action,Crime
tt0036339	movie	Seeds of Freedom	Seeds of Freedom	0	1943	\N	67	Drama,War
tt0144096	video	The Extreme Adventures of Super Dave	The Extreme Adventures of Super Dave	0	2000	\N	91	Comedy
tt0231747	movie	Hooligans	Houligans: Kato ta heria ap' ta niata	0	1983	\N	106	Action,Crime,Drama
tt0071058	tvMiniSeries	De stille Kracht	De stille Kracht	0	1974	1974	240	Drama
tt0033530	movie	The Devil Commands	The Devil Commands	0	1941	\N	65	Horror,Sci-Fi
tt0241008	short	U.S. Marines	U.S. Marines	0	1898	\N	\N	Documentary,Short
tt0207184	tvMovie	Vacances bourgeoises	Vacances bourgeoises	0	1996	\N	96	Drama
tt0175833	movie	Köbánya-blues	Köbánya-blues	0	1990	\N	\N	\N
tt0239846	short	Puck Chasers	Puck Chasers	0	1945	\N	9	Documentary,Short,Sport
