tconst	averageRating	numVotes
tt1260915	5.3	216
tt12075822	8.1	8
tt0782662	8.0	7
tt15534760	6.9	19
tt0471826	5.2	15
tt6338456	8.5	141
tt0356960	4.8	22
tt37610759	1.9	10
tt1090363	6.1	27
tt4078072	7.8	1469
tt10195926	1.8	18
tt1059603	8.6	19
tt0484714	4.6	20
tt0695524	8.0	61
tt0629955	7.5	68
tt2209665	7.5	4009
tt8968758	6.5	111
tt1169981	4.7	31
tt8755176	4.1	71
tt22769876	8.7	6
tt1076216	7.4	57
tt2398178	7.6	273
tt10112488	7.4	15
tt0614241	6.7	34
tt11557768	6.2	11
tt5305722	8.0	6
tt9724198	7.5	19
tt0039088	6.6	696
tt2762862	9.5	43
tt5668366	7.9	2308
tt1278922	6.7	16
tt14786508	7.4	28
tt2027284	7.3	7
tt0540102	8.2	97
tt0316143	7.0	78
tt10270352	7.4	14
tt2394093	8.6	8
tt26425308	7.8	14
tt1928871	6.7	25
tt0024079	6.4	36
tt0574780	7.4	32
tt3711466	6.8	3157
tt6000894	8.2	20
tt3313320	8.1	581
tt7797834	8.6	24
tt10853952	8.3	28
tt1197649	5.6	1547
tt0392780	8.0	10
tt34338663	6.6	5
tt6138626	5.7	30
tt0928385	7.3	492
tt27439337	9.8	5
tt2871258	3.7	9
tt7752008	6.7	19
tt1512792	6.0	160
tt15722618	7.9	42
tt0600186	7.3	32
tt13260864	7.7	24
tt9460698	7.3	62
tt4364858	4.7	16
tt0504208	7.1	314
tt14912164	8.0	6
tt0771106	9.2	27
tt2141130	8.4	9
tt0230179	6.6	15
tt4705124	5.0	32
tt13996522	6.8	6
tt8071594	7.8	520
tt0657269	7.8	598
tt11032810	6.5	1648
tt9034532	5.9	26
tt2085161	7.9	353
tt1391113	4.5	18
tt0625377	8.0	201
tt36758233	8.0	5
tt9085664	8.2	13
tt19873450	5.0	146
tt14687098	6.1	80
tt8188696	7.7	8
tt28500137	5.0	50
tt0863919	7.3	30
tt9088190	7.6	18
tt1528351	5.8	16
tt7374422	6.8	43
tt1640880	8.9	2284
tt11576192	7.6	11
tt8993714	7.4	394
tt6543142	7.6	232
tt1510191	5.8	11
tt2384900	7.3	19
tt0635427	7.8	55
tt7178312	7.4	47
tt33336444	5.2	13
tt0461989	6.5	2386
tt4772192	8.0	1673
tt24850708	3.6	2740
tt0271897	8.0	8
tt3881724	8.6	133
tt10086462	8.6	14
tt0970472	6.7	7994
tt7766050	7.8	34
tt32077316	7.5	13
tt10891942	6.8	61
tt1353306	7.4	58
tt0664192	9.0	13
tt2189783	8.7	51
tt8296620	5.8	177
tt9006218	7.3	18
tt33395172	5.2	10
tt29901801	7.1	34
tt2158573	8.0	13
tt0834238	4.7	26
tt10707170	7.3	7
tt18922956	8.0	30
tt1265160	5.7	9
tt8753826	7.4	674
tt36415198	6.4	437
tt0206938	6.8	1207
tt6190330	7.3	9
tt0572096	7.0	17
tt23138056	6.5	96
tt1589244	7.9	9
tt0305811	8.2	175
tt2139788	5.4	6
tt1201825	7.1	14
tt8585032	8.5	11
tt0074263	6.3	262
tt1062444	8.4	71
tt12539910	5.0	14
tt33630597	7.3	23
tt0323563	3.8	80
tt20881458	4.0	6
tt2235208	5.3	49
tt0378873	6.9	1177
tt1216516	6.6	14019
tt1601488	5.5	52
tt7086374	8.3	8
tt30023058	6.9	73
tt0379351	5.7	212
tt10857870	8.4	58
tt11758910	7.2	15
tt17291788	6.2	7
tt11586066	8.1	69
tt0733590	8.1	23
tt3402110	6.8	2954
tt6815004	4.4	33
tt13996472	4.7	66
tt0850744	7.6	34
tt13378044	7.1	52
tt4772856	5.1	203
tt1193097	6.6	35
tt1246764	7.5	268
tt10342468	8.2	8
tt0050831	5.1	318
tt5508120	5.4	32
tt32534446	8.2	25
tt26916019	5.0	32
tt37757911	7.2	14
tt14180990	7.5	8
tt15146466	8.4	17
tt0517761	7.2	13
tt0605520	3.3	7
tt27424585	4.7	1546
tt13117230	4.5	779
tt1064129	8.7	9
tt10037134	8.2	17
tt1610894	7.2	7
tt10675338	8.5	44
tt0062743	5.9	48
tt3383566	7.7	72
tt18972156	8.7	14
tt0829371	8.7	7
tt0544066	8.2	22
tt36900812	5.6	63
tt0603554	7.6	275
tt5130326	6.9	32
tt3042438	7.0	31
tt0646211	7.3	119
tt14741016	2.9	17
tt30985764	7.7	11
tt4458796	7.0	6
tt6148112	6.6	13
tt28449284	8.4	438
tt0703485	8.2	13
tt27998662	9.2	15
tt0598054	7.2	172
tt39221673	5.7	81
tt4217804	6.0	207
tt15066094	8.8	8
tt13391482	7.1	7
tt22364670	4.2	31
tt0614826	7.6	99
tt1825401	8.4	31
tt3145382	1.0	10
tt8845852	7.5	8
tt26735065	8.0	9
tt2896030	6.6	17
tt1975330	6.2	7
tt1829630	8.6	6
tt1686089	7.2	74
tt6957582	6.0	6
tt14784878	6.9	63
tt0840909	8.3	67
tt0437442	5.6	10
tt31405433	7.5	17
tt22336282	7.8	344
tt2503820	6.4	28
tt1455582	4.5	72
tt0068853	6.8	10246
tt3656230	7.1	97
tt10619452	8.8	15
tt0970821	3.6	126
tt20248350	9.3	14
tt6639654	9.0	27
tt0077413	7.3	44395
tt0097509	6.6	397
tt1423560	6.1	32
tt19844752	6.6	13
tt35252523	8.6	2520
tt11164368	7.8	78
tt1721226	8.9	9913
tt22176652	8.3	162
tt0529935	8.7	12
tt9773100	6.4	91
tt0175937	5.3	10
tt2037517	8.5	8
tt5907958	6.1	32
tt0945448	9.2	30
tt0090027	7.6	157
tt2680006	6.8	106
tt29928761	7.3	23
tt1015986	7.6	34
tt7270542	5.6	28
tt13654642	9.3	9
tt1797922	8.5	17
tt0614996	7.3	93
tt6207236	4.6	412
tt0780693	7.6	21
tt0491345	6.9	18
tt0832333	7.8	21
tt36071422	5.8	32
tt0836140	7.6	49
tt9182686	6.6	12
tt12670178	5.1	82
tt2873282	6.6	217416
tt11201966	7.0	14
tt11828728	8.0	44
tt2138696	6.3	11
tt0078825	6.4	75
tt0599189	8.4	7
tt0402459	8.5	20
tt0512873	8.0	1660
tt2508380	6.4	5
tt6983540	6.8	5
tt12323668	9.2	367
tt7390630	10.0	8
tt0788539	7.3	37
tt0362525	7.0	16
tt6447952	5.3	43
tt3412624	7.8	11
tt0052842	5.5	81
tt0520829	8.6	59
tt1627401	7.5	22
tt1462014	7.4	1968
tt5278222	9.6	13
tt31778524	7.3	29
tt1568455	6.4	5
tt2401725	4.7	33
tt36457937	8.5	54
tt1156043	6.1	12
